step,dataset,rows,f1_macro,f1_weighted,recall_macro,precision_macro,f1_macro_delta,recall_delta,precision_delta
dota_baseline,Dota,35887,0.7566,0.8709,0.7946,0.7318,0.0,0.0,0.0
dota_non_latin,Dota,35869,0.7585,0.8715,0.7948,0.7344,0.0019,0.0002,0.0026
dota_non_english,Dota,35813,0.7557,0.8703,0.7936,0.7306,-0.0028,-0.0012,-0.0038
dota_sepa_strip,Dota,35813,0.7667,0.8782,0.7921,0.7477,0.011,-0.0015,0.0171
dota_majority_map,Dota,35813,0.778,0.8843,0.8002,0.7611,0.0113,0.0081,0.0134
dota_label_fix,Dota,35813,0.8764,0.9303,0.8865,0.8686,0.0984,0.0863,0.1075
dota_svc_check,Dota,35813,0.8944,0.9408,0.8875,0.9019,0.018,0.001,0.0333
