step,dataset,rows,f1_macro,f1_weighted,recall_macro,precision_macro,f1_macro_delta,recall_delta,precision_delta
wot_baseline,WoT,53701,0.4765,0.8608,0.553,0.4586,0.0,0.0,0.0
wot_non_latin,WoT,49851,0.4946,0.8679,0.5919,0.4756,0.0181,0.0389,0.017
wot_non_english,WoT,49557,0.503,0.8681,0.6037,0.4862,0.0084,0.0118,0.0106
wot_majority_map,WoT,49557,0.5211,0.877,0.6204,0.5036,0.0181,0.0167,0.0174
wot_artifacts,WoT,49386,0.5227,0.8766,0.6177,0.5094,0.0016,-0.0027,0.0058
wot_label_fix,WoT,49386,0.7886,0.9265,0.8545,0.7504,0.2659,0.2368,0.241
wot_svc_check,WoT,49386,0.8126,0.9386,0.8381,0.8,0.024,-0.0164,0.0496
