experiment_name,split_method,evaluation,fold,model,model_config,model_experiment,training_mode,rows,accuracy,f1,recall,precision,fpr,fnr,tpr,tnr,auc,fit_seconds,accuracy_std,f1_std,recall_std,precision_std,fpr_std,fnr_std,tpr_std,tnr_std,auc_std,fit_seconds_std,label_counts,prediction_counts
stratified__fold_val__logistic_regression:strong_regularization__fold_1,stratified,fold_val,fold_1,logistic_regression,strong_regularization,logistic_regression:strong_regularization,supervised,15336,0.8734,0.5024,0.4358,0.681,0.0731,0.5642,0.4358,0.9269,,5.88,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 528, ""4"": 69, ""5"": 6}","{""0"": 12938, ""1"": 1527, ""2"": 595, ""3"": 262, ""4"": 14}"
stratified__fold_val__logistic_regression:weak_regularization__fold_1,stratified,fold_val,fold_1,logistic_regression,weak_regularization,logistic_regression:weak_regularization,supervised,15336,0.9066,0.6952,0.6251,0.8393,0.0426,0.3749,0.6251,0.9574,,11.35,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 528, ""4"": 69, ""5"": 6}","{""0"": 11994, ""1"": 1831, ""2"": 1080, ""3"": 387, ""4"": 42, ""5"": 2}"
stratified__fold_val__linear_svc:balanced__fold_1,stratified,fold_val,fold_1,linear_svc,balanced,linear_svc:balanced,supervised,15336,0.9059,0.7459,0.7551,0.74,0.0344,0.2449,0.7551,0.9656,,2.72,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 528, ""4"": 69, ""5"": 6}","{""0"": 11499, ""1"": 1908, ""2"": 1350, ""3"": 487, ""4"": 86, ""5"": 6}"
stratified__fold_val__linear_svc:default__fold_1,stratified,fold_val,fold_1,linear_svc,default,linear_svc:default,supervised,15336,0.9073,0.7217,0.6683,0.7955,0.0413,0.3317,0.6683,0.9587,,2.18,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 528, ""4"": 69, ""5"": 6}","{""0"": 11930, ""1"": 1882, ""2"": 1062, ""3"": 410, ""4"": 48, ""5"": 4}"
stratified__fold_val__linear_svc:oversampled__fold_1,stratified,fold_val,fold_1,linear_svc,oversampled,linear_svc:oversampled,supervised,15336,0.9001,0.7471,0.755,0.7461,0.0346,0.245,0.755,0.9653,,53.88,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 528, ""4"": 69, ""5"": 6}","{""0"": 11368, ""1"": 1910, ""2"": 1452, ""3"": 511, ""4"": 90, ""5"": 5}"
stratified__fold_val__linear_svc:strong_regularization__fold_1,stratified,fold_val,fold_1,linear_svc,strong_regularization,linear_svc:strong_regularization,supervised,15336,0.9005,0.6783,0.5936,0.8572,0.0503,0.4064,0.5936,0.9497,,1.66,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 528, ""4"": 69, ""5"": 6}","{""0"": 12292, ""1"": 1829, ""2"": 836, ""3"": 341, ""4"": 36, ""5"": 2}"
stratified__fold_val__linear_svc:weak_regularization__fold_1,stratified,fold_val,fold_1,linear_svc,weak_regularization,linear_svc:weak_regularization,supervised,15336,0.9022,0.7346,0.707,0.7699,0.0401,0.293,0.707,0.9599,,7.58,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 528, ""4"": 69, ""5"": 6}","{""0"": 11759, ""1"": 1873, ""2"": 1197, ""3"": 452, ""4"": 49, ""5"": 6}"
stratified__fold_val__naive_bayes:default__fold_2,stratified,fold_val,fold_2,naive_bayes,default,naive_bayes:default,supervised,15336,0.8614,0.4245,0.3756,0.5739,0.0819,0.6244,0.3756,0.9181,0.8365,1.24,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 13164, ""1"": 1602, ""2"": 372, ""3"": 198}"
stratified__fold_val__naive_bayes:high_smoothing__fold_2,stratified,fold_val,fold_2,naive_bayes,high_smoothing,naive_bayes:high_smoothing,supervised,15336,0.8437,0.384,0.3352,0.5806,0.0968,0.6648,0.3353,0.9032,0.8019,1.24,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 13588, ""1"": 1337, ""2"": 266, ""3"": 145}"
stratified__fold_val__naive_bayes:low_smoothing__fold_2,stratified,fold_val,fold_2,naive_bayes,low_smoothing,naive_bayes:low_smoothing,supervised,15336,0.8772,0.5501,0.5285,0.6156,0.0451,0.4715,0.5285,0.955,0.929,1.24,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 11422, ""1"": 2224, ""2"": 1239, ""3"": 430, ""4"": 21}"
stratified__fold_val__naive_bayes:oversampled__fold_2,stratified,fold_val,fold_2,naive_bayes,oversampled,naive_bayes:oversampled,supervised,15336,0.7419,0.477,0.8028,0.4216,0.0522,0.1973,0.8028,0.9479,0.9502,1.3,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 8466, ""1"": 2575, ""2"": 2475, ""3"": 1169, ""4"": 568, ""5"": 83}"
stratified__fold_val__logistic_regression:balanced__fold_2,stratified,fold_val,fold_2,logistic_regression,balanced,logistic_regression:balanced,supervised,15336,0.8854,0.7101,0.8099,0.6529,0.0322,0.1901,0.8099,0.9678,,11.49,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 10856, ""1"": 1934, ""2"": 1732, ""3"": 657, ""4"": 149, ""5"": 8}"
stratified__fold_val__logistic_regression:default__fold_2,stratified,fold_val,fold_2,logistic_regression,default,logistic_regression:default,supervised,15336,0.9021,0.5993,0.5429,0.6944,0.0486,0.4572,0.5428,0.9514,,10.27,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 12233, ""1"": 1784, ""2"": 940, ""3"": 346, ""4"": 33}"
stratified__fold_val__logistic_regression:oversampled__fold_2,stratified,fold_val,fold_2,logistic_regression,oversampled,logistic_regression:oversampled,supervised,15336,0.8939,0.7387,0.7897,0.7053,0.033,0.2103,0.7896,0.967,,25.17,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 11122, ""1"": 1933, ""2"": 1564, ""3"": 596, ""4"": 115, ""5"": 6}"
stratified__fold_val__logistic_regression:strong_regularization__fold_2,stratified,fold_val,fold_2,logistic_regression,strong_regularization,logistic_regression:strong_regularization,supervised,15336,0.8725,0.4932,0.4275,0.6814,0.0746,0.5725,0.4275,0.9254,,5.54,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 12988, ""1"": 1487, ""2"": 595, ""3"": 255, ""4"": 11}"
stratified__fold_val__logistic_regression:weak_regularization__fold_2,stratified,fold_val,fold_2,logistic_regression,weak_regularization,logistic_regression:weak_regularization,supervised,15336,0.9055,0.6948,0.6213,0.8499,0.0428,0.3786,0.6213,0.9571,,12.97,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 11990, ""1"": 1827, ""2"": 1094, ""3"": 387, ""4"": 36, ""5"": 2}"
stratified__fold_val__linear_svc:balanced__fold_2,stratified,fold_val,fold_2,linear_svc,balanced,linear_svc:balanced,supervised,15336,0.9021,0.7046,0.682,0.7465,0.0363,0.318,0.682,0.9637,,2.75,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 11532, ""1"": 1916, ""2"": 1327, ""3"": 491, ""4"": 67, ""5"": 3}"
stratified__fold_val__linear_svc:default__fold_2,stratified,fold_val,fold_2,linear_svc,default,linear_svc:default,supervised,15336,0.9073,0.6939,0.6349,0.7902,0.0409,0.3651,0.6349,0.9591,,2.25,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 11911, ""1"": 1892, ""2"": 1080, ""3"": 410, ""4"": 40, ""5"": 3}"
stratified__fold_val__linear_svc:oversampled__fold_2,stratified,fold_val,fold_2,linear_svc,oversampled,linear_svc:oversampled,supervised,15336,0.897,0.7256,0.7134,0.7473,0.0359,0.2866,0.7134,0.9641,,51.91,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 11374, ""1"": 1933, ""2"": 1440, ""3"": 516, ""4"": 69, ""5"": 4}"
stratified__fold_val__linear_svc:strong_regularization__fold_2,stratified,fold_val,fold_2,linear_svc,strong_regularization,linear_svc:strong_regularization,supervised,15336,0.9023,0.6388,0.5602,0.8686,0.05,0.4398,0.5602,0.95,,1.66,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 12286, ""1"": 1811, ""2"": 858, ""3"": 353, ""4"": 27, ""5"": 1}"
stratified__fold_val__linear_svc:weak_regularization__fold_2,stratified,fold_val,fold_2,linear_svc,weak_regularization,linear_svc:weak_regularization,supervised,15336,0.8994,0.6839,0.6393,0.7516,0.041,0.3607,0.6392,0.959,,7.16,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1257, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 11742, ""1"": 1881, ""2"": 1229, ""3"": 441, ""4"": 39, ""5"": 4}"
stratified__fold_val__naive_bayes:default__fold_3,stratified,fold_val,fold_3,naive_bayes,default,naive_bayes:default,supervised,15336,0.8625,0.423,0.3761,0.5687,0.0805,0.6239,0.3761,0.9195,0.8488,1.33,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1258, ""3"": 528, ""4"": 68, ""5"": 6}","{""0"": 13112, ""1"": 1652, ""2"": 387, ""3"": 185}"
stratified__fold_val__naive_bayes:high_smoothing__fold_3,stratified,fold_val,fold_3,naive_bayes,high_smoothing,naive_bayes:high_smoothing,supervised,15336,0.8444,0.3827,0.3351,0.5779,0.0966,0.6649,0.3352,0.9034,0.8182,1.38,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1258, ""3"": 528, ""4"": 68, ""5"": 6}","{""0"": 13593, ""1"": 1347, ""2"": 251, ""3"": 145}"
stratified__fold_val__naive_bayes:low_smoothing__fold_3,stratified,fold_val,fold_3,naive_bayes,low_smoothing,naive_bayes:low_smoothing,supervised,15336,0.8788,0.6161,0.5724,0.7625,0.0438,0.4276,0.5724,0.9563,0.9302,1.4,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1258, ""3"": 528, ""4"": 68, ""5"": 6}","{""0"": 11409, ""1"": 2203, ""2"": 1270, ""3"": 436, ""4"": 16, ""5"": 2}"
stratified__fold_val__naive_bayes:oversampled__fold_3,stratified,fold_val,fold_3,naive_bayes,oversampled,naive_bayes:oversampled,supervised,15336,0.7457,0.4747,0.758,0.4205,0.0509,0.242,0.758,0.9491,0.9374,1.58,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1258, ""3"": 528, ""4"": 68, ""5"": 6}","{""0"": 8503, ""1"": 2553, ""2"": 2451, ""3"": 1225, ""4"": 538, ""5"": 66}"
stratified__fold_val__logistic_regression:balanced__fold_3,stratified,fold_val,fold_3,logistic_regression,balanced,logistic_regression:balanced,supervised,15336,0.8833,0.7146,0.8166,0.6606,0.0314,0.1834,0.8166,0.9686,,13.04,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1258, ""3"": 528, ""4"": 68, ""5"": 6}","{""0"": 10761, ""1"": 1962, ""2"": 1798, ""3"": 643, ""4"": 165, ""5"": 7}"
stratified__fold_val__logistic_regression:default__fold_3,stratified,fold_val,fold_3,logistic_regression,default,logistic_regression:default,supervised,15336,0.9008,0.5887,0.5393,0.6673,0.048,0.4607,0.5393,0.952,,10.91,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1258, ""3"": 528, ""4"": 68, ""5"": 6}","{""0"": 12163, ""1"": 1812, ""2"": 971, ""3"": 354, ""4"": 36}"
stratified__fold_val__logistic_regression:oversampled__fold_3,stratified,fold_val,fold_3,logistic_regression,oversampled,logistic_regression:oversampled,supervised,15336,0.8933,0.7367,0.809,0.691,0.0322,0.1909,0.8091,0.9678,,24.7,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1258, ""3"": 528, ""4"": 68, ""5"": 6}","{""0"": 11052, ""1"": 1916, ""2"": 1635, ""3"": 600, ""4"": 126, ""5"": 7}"
stratified__fold_val__logistic_regression:strong_regularization__fold_3,stratified,fold_val,fold_3,logistic_regression,strong_regularization,logistic_regression:strong_regularization,supervised,15336,0.8739,0.5078,0.4403,0.6883,0.0722,0.5597,0.4403,0.9278,,6.04,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1258, ""3"": 528, ""4"": 68, ""5"": 6}","{""0"": 12901, ""1"": 1547, ""2"": 612, ""3"": 261, ""4"": 15}"
stratified__fold_val__logistic_regression:weak_regularization__fold_3,stratified,fold_val,fold_3,logistic_regression,weak_regularization,logistic_regression:weak_regularization,supervised,15336,0.903,0.6825,0.6147,0.8255,0.0434,0.3853,0.6147,0.9567,,15.23,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1258, ""3"": 528, ""4"": 68, ""5"": 6}","{""0"": 11940, ""1"": 1844, ""2"": 1129, ""3"": 382, ""4"": 39, ""5"": 2}"
stratified__fold_val__linear_svc:balanced__fold_3,stratified,fold_val,fold_3,linear_svc,balanced,linear_svc:balanced,supervised,15336,0.9012,0.7148,0.7251,0.7069,0.0358,0.2749,0.7251,0.9642,,2.7,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1258, ""3"": 528, ""4"": 68, ""5"": 6}","{""0"": 11448, ""1"": 1914, ""2"": 1377, ""3"": 509, ""4"": 82, ""5"": 6}"
stratified__fold_val__linear_svc:default__fold_3,stratified,fold_val,fold_3,linear_svc,default,linear_svc:default,supervised,15336,0.9041,0.7075,0.6569,0.7785,0.042,0.3431,0.6569,0.958,,2.16,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1258, ""3"": 528, ""4"": 68, ""5"": 6}","{""0"": 11873, ""1"": 1891, ""2"": 1112, ""3"": 411, ""4"": 45, ""5"": 4}"
stratified__fold_val__linear_svc:oversampled__fold_3,stratified,fold_val,fold_3,linear_svc,oversampled,linear_svc:oversampled,supervised,15336,0.893,0.712,0.7363,0.6934,0.0364,0.2636,0.7363,0.9636,,55.7,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1258, ""3"": 528, ""4"": 68, ""5"": 6}","{""0"": 11281, ""1"": 1929, ""2"": 1495, ""3"": 535, ""4"": 90, ""5"": 6}"
stratified__fold_val__linear_svc:strong_regularization__fold_3,stratified,fold_val,fold_3,linear_svc,strong_regularization,linear_svc:strong_regularization,supervised,15336,0.9011,0.5881,0.5343,0.6806,0.049,0.4657,0.5343,0.9509,,1.73,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1258, ""3"": 528, ""4"": 68, ""5"": 6}","{""0"": 12226, ""1"": 1846, ""2"": 881, ""3"": 351, ""4"": 32}"
stratified__fold_val__linear_svc:weak_regularization__fold_3,stratified,fold_val,fold_3,linear_svc,weak_regularization,linear_svc:weak_regularization,supervised,15336,0.8952,0.6812,0.6583,0.7108,0.0424,0.3416,0.6584,0.9576,,7.25,,,,,,,,,,,"{""0"": 11491, ""1"": 1985, ""2"": 1258, ""3"": 528, ""4"": 68, ""5"": 6}","{""0"": 11700, ""1"": 1891, ""2"": 1233, ""3"": 459, ""4"": 47, ""5"": 6}"
stratified__fold_val__naive_bayes:default__fold_4,stratified,fold_val,fold_4,naive_bayes,default,naive_bayes:default,supervised,15336,0.8607,0.4234,0.3756,0.5688,0.0819,0.6244,0.3756,0.9181,0.8653,1.25,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1258, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 13156, ""1"": 1611, ""2"": 364, ""3"": 205}"
stratified__fold_val__naive_bayes:high_smoothing__fold_4,stratified,fold_val,fold_4,naive_bayes,high_smoothing,naive_bayes:high_smoothing,supervised,15336,0.8433,0.384,0.3364,0.5763,0.0971,0.6636,0.3364,0.9029,0.8368,1.31,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1258, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 13599, ""1"": 1340, ""2"": 234, ""3"": 163}"
stratified__fold_val__naive_bayes:low_smoothing__fold_4,stratified,fold_val,fold_4,naive_bayes,low_smoothing,naive_bayes:low_smoothing,supervised,15336,0.8787,0.6379,0.5888,0.7777,0.0444,0.4113,0.5887,0.9556,0.932,1.34,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1258, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 11430, ""1"": 2191, ""2"": 1256, ""3"": 433, ""4"": 24, ""5"": 2}"
stratified__fold_val__naive_bayes:oversampled__fold_4,stratified,fold_val,fold_4,naive_bayes,oversampled,naive_bayes:oversampled,supervised,15336,0.7451,0.4717,0.7685,0.4191,0.0514,0.2315,0.7685,0.9486,0.9322,1.46,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1258, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 8519, ""1"": 2584, ""2"": 2410, ""3"": 1178, ""4"": 542, ""5"": 103}"
stratified__fold_val__logistic_regression:balanced__fold_4,stratified,fold_val,fold_4,logistic_regression,balanced,logistic_regression:balanced,supervised,15336,0.8864,0.7036,0.7836,0.6843,0.0307,0.2164,0.7836,0.9693,,13.07,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1258, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 10825, ""1"": 1946, ""2"": 1732, ""3"": 640, ""4"": 189, ""5"": 4}"
stratified__fold_val__logistic_regression:default__fold_4,stratified,fold_val,fold_4,logistic_regression,default,logistic_regression:default,supervised,15336,0.904,0.6106,0.5606,0.6847,0.0471,0.4394,0.5606,0.9529,,10.35,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1258, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 12197, ""1"": 1808, ""2"": 915, ""3"": 374, ""4"": 42}"
stratified__fold_val__logistic_regression:oversampled__fold_4,stratified,fold_val,fold_4,logistic_regression,oversampled,logistic_regression:oversampled,supervised,15336,0.8974,0.7327,0.7737,0.7512,0.0301,0.2263,0.7737,0.9699,,27.31,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1258, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 11058, ""1"": 1939, ""2"": 1602, ""3"": 587, ""4"": 147, ""5"": 3}"
stratified__fold_val__logistic_regression:strong_regularization__fold_4,stratified,fold_val,fold_4,logistic_regression,strong_regularization,logistic_regression:strong_regularization,supervised,15336,0.8736,0.5077,0.4388,0.7222,0.0733,0.5612,0.4388,0.9267,,6.17,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1258, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 12956, ""1"": 1522, ""2"": 571, ""3"": 276, ""4"": 11}"
stratified__fold_val__logistic_regression:weak_regularization__fold_4,stratified,fold_val,fold_4,logistic_regression,weak_regularization,logistic_regression:weak_regularization,supervised,15336,0.9058,0.6978,0.6298,0.8367,0.0421,0.3702,0.6298,0.9579,,17.09,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1258, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 11974, ""1"": 1862, ""2"": 1063, ""3"": 390, ""4"": 45, ""5"": 2}"
stratified__fold_val__linear_svc:balanced__fold_4,stratified,fold_val,fold_4,linear_svc,balanced,linear_svc:balanced,supervised,15336,0.9058,0.7291,0.729,0.742,0.0326,0.271,0.729,0.9674,,2.65,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1258, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 11430, ""1"": 1966, ""2"": 1333, ""3"": 512, ""4"": 91, ""5"": 4}"
stratified__fold_val__linear_svc:default__fold_4,stratified,fold_val,fold_4,linear_svc,default,linear_svc:default,supervised,15336,0.9085,0.7067,0.6476,0.8294,0.0394,0.3524,0.6476,0.9606,,2.17,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1258, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 11877, ""1"": 1915, ""2"": 1068, ""3"": 422, ""4"": 52, ""5"": 2}"
stratified__fold_val__linear_svc:oversampled__fold_4,stratified,fold_val,fold_4,linear_svc,oversampled,linear_svc:oversampled,supervised,15336,0.8993,0.7122,0.7335,0.7016,0.0331,0.2665,0.7335,0.9669,,65.36,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1258, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 11303, ""1"": 1936, ""2"": 1467, ""3"": 523, ""4"": 102, ""5"": 5}"
stratified__fold_val__linear_svc:strong_regularization__fold_4,stratified,fold_val,fold_4,linear_svc,strong_regularization,linear_svc:strong_regularization,supervised,15336,0.9017,0.6409,0.5685,0.8458,0.0491,0.4315,0.5685,0.9509,,1.87,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1258, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 12260, ""1"": 1844, ""2"": 822, ""3"": 373, ""4"": 36, ""5"": 1}"
stratified__fold_val__linear_svc:weak_regularization__fold_4,stratified,fold_val,fold_4,linear_svc,weak_regularization,linear_svc:weak_regularization,supervised,15336,0.8996,0.7147,0.6696,0.7904,0.039,0.3303,0.6696,0.9609,,7.2,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1258, ""3"": 529, ""4"": 68, ""5"": 6}","{""0"": 11664, ""1"": 1952, ""2"": 1199, ""3"": 462, ""4"": 56, ""5"": 3}"
stratified__fold_val__naive_bayes:default__fold_5,stratified,fold_val,fold_5,naive_bayes,default,naive_bayes:default,supervised,15335,0.861,0.4266,0.3772,0.5713,0.0811,0.6228,0.3772,0.9189,0.847,1.37,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1257, ""3"": 529, ""4"": 69, ""5"": 5}","{""0"": 13131, ""1"": 1601, ""2"": 408, ""3"": 195}"
stratified__fold_val__naive_bayes:high_smoothing__fold_5,stratified,fold_val,fold_5,naive_bayes,high_smoothing,naive_bayes:high_smoothing,supervised,15335,0.8419,0.3826,0.3341,0.5748,0.0972,0.666,0.3341,0.9028,0.8156,1.38,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1257, ""3"": 529, ""4"": 69, ""5"": 5}","{""0"": 13592, ""1"": 1326, ""2"": 267, ""3"": 150}"
stratified__fold_val__naive_bayes:low_smoothing__fold_5,stratified,fold_val,fold_5,naive_bayes,low_smoothing,naive_bayes:low_smoothing,supervised,15335,0.879,0.5678,0.5447,0.6224,0.044,0.4553,0.5447,0.956,0.9311,1.45,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1257, ""3"": 529, ""4"": 69, ""5"": 5}","{""0"": 11414, ""1"": 2212, ""2"": 1247, ""3"": 434, ""4"": 28}"
stratified__fold_val__naive_bayes:oversampled__fold_5,stratified,fold_val,fold_5,naive_bayes,oversampled,naive_bayes:oversampled,supervised,15335,0.7472,0.4797,0.8012,0.4247,0.0509,0.1988,0.8012,0.9491,0.9425,1.44,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1257, ""3"": 529, ""4"": 69, ""5"": 5}","{""0"": 8530, ""1"": 2555, ""2"": 2441, ""3"": 1150, ""4"": 585, ""5"": 74}"
stratified__fold_val__logistic_regression:balanced__fold_5,stratified,fold_val,fold_5,logistic_regression,balanced,logistic_regression:balanced,supervised,15335,0.8871,0.7207,0.8462,0.6554,0.0306,0.1539,0.8462,0.9694,,12.24,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1257, ""3"": 529, ""4"": 69, ""5"": 5}","{""0"": 10820, ""1"": 1919, ""2"": 1780, ""3"": 636, ""4"": 172, ""5"": 8}"
stratified__fold_val__logistic_regression:default__fold_5,stratified,fold_val,fold_5,logistic_regression,default,logistic_regression:default,supervised,15335,0.9005,0.6102,0.5622,0.6795,0.0477,0.4378,0.5622,0.9523,,10.49,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1257, ""3"": 529, ""4"": 69, ""5"": 5}","{""0"": 12160, ""1"": 1816, ""2"": 958, ""3"": 354, ""4"": 47}"
stratified__fold_val__logistic_regression:oversampled__fold_5,stratified,fold_val,fold_5,logistic_regression,oversampled,logistic_regression:oversampled,supervised,15335,0.8977,0.741,0.8349,0.6849,0.0307,0.1651,0.8349,0.9693,,24.73,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1257, ""3"": 529, ""4"": 69, ""5"": 5}","{""0"": 11087, ""1"": 1910, ""2"": 1615, ""3"": 583, ""4"": 132, ""5"": 8}"
stratified__fold_val__logistic_regression:strong_regularization__fold_5,stratified,fold_val,fold_5,logistic_regression,strong_regularization,logistic_regression:strong_regularization,supervised,15335,0.8715,0.4818,0.4213,0.6464,0.0732,0.5787,0.4213,0.9268,,6.71,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1257, ""3"": 529, ""4"": 69, ""5"": 5}","{""0"": 12919, ""1"": 1544, ""2"": 619, ""3"": 242, ""4"": 11}"
stratified__fold_val__logistic_regression:weak_regularization__fold_5,stratified,fold_val,fold_5,logistic_regression,weak_regularization,logistic_regression:weak_regularization,supervised,15335,0.9037,0.7009,0.6406,0.7912,0.0433,0.3594,0.6406,0.9567,,15.32,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1257, ""3"": 529, ""4"": 69, ""5"": 5}","{""0"": 11985, ""1"": 1842, ""2"": 1080, ""3"": 382, ""4"": 43, ""5"": 3}"
stratified__fold_val__linear_svc:balanced__fold_5,stratified,fold_val,fold_5,linear_svc,balanced,linear_svc:balanced,supervised,15335,0.9044,0.7527,0.7875,0.7281,0.0346,0.2125,0.7875,0.9654,,3.12,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1257, ""3"": 529, ""4"": 69, ""5"": 5}","{""0"": 11478, ""1"": 1909, ""2"": 1353, ""3"": 500, ""4"": 88, ""5"": 7}"
stratified__fold_val__linear_svc:default__fold_5,stratified,fold_val,fold_5,linear_svc,default,linear_svc:default,supervised,15335,0.9059,0.7333,0.7173,0.769,0.0418,0.2827,0.7173,0.9582,,2.4,,,,,,,,,,,"{""0"": 11491, ""1"": 1984, ""2"": 1257, ""3"": 529, ""4"": 69, ""5"": 5}","{""0"": 11928, ""1"": 1894, ""2"": 1054, ""3"": 405, ""4"": 47, ""5"": 7}"
